,COUNTRY,COURSE TYPE,COURSE (SPECIALIZATION),FEES,Target
32,GERMANY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Fashion Management,2256894.43,High Cost
33,GERMANY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Media Management,1172646.98,High Cost
34,GERMANY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Psychology Management,516866.71,High Cost
35,GERMANY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Public Relations Management,1353054.21,High Cost
36,GERMANY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Sports Management,1217748.79,High Cost
37,GERMANY,MASTERS OF MANAGEMENT,MASTERS OF MANAGEMENT in Stratergic Management,1136565.54,High Cost
38,GERMANY,M.ENG,M.ENG in Mechanical,2329959.35,High Cost
39,GERMANY,M.ENG,M.ENG in Electrical,1298932.04,High Cost
40,GERMANY,M.ENG,M.ENG in Architecture,584519.42,High Cost
41,GERMANY,M.ENG,M.ENG in Civil ,1298932.04,High Cost
42,GERMANY,M.ENG,M.ENG in IT & Networking,270610.84,Low Cost
43,GERMANY,M.ENG,M.ENG in Chemical,270610.84,Low Cost
44,GERMANY,M.ENG,M.ENG in Computer Science Engineering,1044106.83,High Cost
45,GERMANY,M.ENG,M.ENG in Aerospace,3157125.6,High Cost
46,GERMANY,M.ENG,M.ENG in Biomedical,90835.04,Low Cost
47,GERMANY,M.ENG,M.ENG in Energy & Environment,1298932.04,High Cost
48,GERMANY,M.ENG,M.ENG in Industrial,1344033.85,High Cost
49,GERMANY,M.ENG,M.ENG in International Business,1163626.62,High Cost
50,GERMANY,M.ENG,M.ENG in Production,811832.53,High Cost
51,GERMANY,M.Sc,M.Sc in Physics,1623665.05,High Cost
52,GERMANY,M.Sc,M.Sc in Chemistry,1398156.02,High Cost
53,GERMANY,M.Sc,M.Sc in Biology,1262850.6,High Cost
54,GERMANY,M.Sc,M.Sc in Psychology ,1226769.15,High Cost
55,GERMANY,M.Sc,M.Sc in Nursing,1623665.05,High Cost
56,GERMANY,M.Sc,M.Sc in Environment,1488359.63,High Cost
57,GERMANY,M.Sc,M.Sc in Agriculture,1127545.18,High Cost
58,GERMANY,M.Sc,M.Sc inBusiness & Finance,1894275.9,High Cost
59,GERMANY,M.Sc,M.Sc inI.T,1804072.28,High Cost
60,GERMANY,M.Sc,M.Sc inData Science,2119784.93,High Cost
61,USA,MBA,MBA in Sales & Marketing,2638614.4,High Cost
62,USA,MBA,MBA in Business Administration,1417822.57,High Cost
63,USA,MBA,MBA in Hospital/Healthcare Management,2058338.9,High Cost
64,USA,MBA,MBA in International Business,2660913.49,High Cost
65,USA,MBA,MBA in Supply Chain & Logistics Management,4676151.91,High Cost
66,USA,MBA,MBA in Entrepreneurship & Leadership Management,2479691.8,High Cost
67,USA,MBA,MBA in Finance,2660913.49,High Cost
68,USA,MBA,MBA in Accounting,2058338.9,High Cost
69,USA,MBA,MBA in Project Management,2321434.85,High Cost
70,USA,MBA,MBA in Executive MBA,7779718.92,High Cost
71,USA,MASTERS OF MANAGEMENT,MASTER OF MANAGEMENT in Hotel Management,4219519.85,High Cost
72,USA,MASTERS OF MANAGEMENT,MASTER OF MANAGEMENT in Marketing,5325155.2,High Cost
73,USA,MASTERS OF MANAGEMENT,MASTER OF MANAGEMENT in Logistics & Supply Chain ,869498.0,High Cost
74,USA,MASTERS OF MANAGEMENT,MASTER OF MANAGEMENT in International Business ,3032509.48,High Cost
75,USA,MASTERS OF MANAGEMENT,MASTER OF MANAGEMENT in Supply Chain Management,4153621.06,High Cost
76,USA,MASTERS OF MANAGEMENT,MASTER OF MANAGEMENT in Hospital/Healthcare Management,4219519.85,High Cost
77,USA,MASTERS OF MANAGEMENT,MASTER OF MANAGEMENT in Real Estate,5325155.2,High Cost
78,USA,MASTERS OF MANAGEMENT,MASTER OF MANAGEMENT in Risk Management,5325155.2,High Cost
79,USA,MASTERS OF MANAGEMENT,"MASTER OF MANAGEMENT in Sports,Leisure & Tourism",3983382.5,High Cost
80,USA,MASTERS OF MANAGEMENT,MASTER OF MANAGEMENT in Wine & Gastronomy,207181.82,Low Cost
81,USA,MASTERS OF MANAGEMENT,MASTER OF MANAGEMENT in Public Relations Management,2396319.84,High Cost
82,USA,MASTERS OF MANAGEMENT,MASTER OF MANAGEMENT in Sports Management,2034375.7,High Cost
83,USA,MASTERS OF MANAGEMENT,MASTER OF MANAGEMENT in Spriti Marketing,2571051.5,High Cost
84,USA,MASTERS OF MANAGEMENT,MASTER OF MANAGEMENT in Finance,3292942.85,High Cost
85,USA,MASTERS OF MANAGEMENT,MASTER OF MANAGEMENT in Eco-Design & Sustainable,1514341.01,High Cost
86,USA,M.ENG,M.ENG in Mechanical,4447336.65,High Cost
87,USA,M.ENG,M.ENG in Marine,877568.94,High Cost
88,USA,M.ENG,M.ENG in Electrical,3022857.63,High Cost
89,USA,M.ENG,M.ENG in Architecture,4125331.17,High Cost
90,USA,M.ENG,M.ENG in Civil ,4397995.76,High Cost
91,USA,M.ENG,M.ENG in IT & Networking,4203544.39,High Cost
92,USA,M.ENG,M.ENG in Chemical,4125331.17,High Cost
93,USA,M.ENG,M.ENG in Computer Science Engineering,4447336.65,High Cost
94,USA,M.ENG,M.ENG in Aerospace,3814641.65,High Cost
95,USA,M.ENG,M.ENG in Biomedical,4422541.39,High Cost
96,USA,M.ENG,M.ENG in Energy & Environment,4005515.18,High Cost
97,USA,M.ENG,M.ENG in Industrial,3371156.06,High Cost
98,USA,M.ENG,M.ENG in Production,1637485.22,High Cost
99,USA,M.ENG,M.ENG in Nuclear ,839876.82,High Cost
100,USA,M.ENG,M.ENG in Nanotechnology,1457178.8,High Cost
101,USA,M.ENG,M.ENG in Software,4214361.11,High Cost
102,USA,M.ENG,M.ENG in Bio Engineering,3287950.51,High Cost
103,USA,M.Sc,M.Sc in Physics,4447336.65,High Cost
104,USA,M.Sc,M.Sc in Chemistry,4613747.75,High Cost
105,USA,M.Sc,M.Sc in Biology,4863364.4,High Cost
106,USA,M.Sc,M.Sc in Psychology ,2492172.63,High Cost
107,USA,M.Sc,M.Sc in NeuroScience,3729272.75,High Cost
108,USA,M.Sc,M.Sc in Environment,3729272.75,High Cost
109,USA,M.Sc,M.Sc in Agriculture,2537353.25,High Cost
110,USA,M.Sc,M.Sc in Forensic Science,1535142.4,High Cost
111,USA,M.Sc,M.Sc in Botany,1808722.25,High Cost
112,USA,M.Sc,M.Sc in Energy & Environment,2396319.84,High Cost
113,USA,M.Sc,M.Sc in Zoology,2098277.56,High Cost
114,USA,M.Sc,M.Sc in Mathematics,4397995.76,High Cost
115,USA,M.Sc,M.Sc in Geology,3814641.65,High Cost
116,CANADA,MBA,MBA in Executive MBA,2261903.85,High Cost
117,CANADA,MBA,MBA in Banking,1735926.81,High Cost
118,CANADA,MBA,MBA in Business Administration,3868254.57,High Cost
